id,lot_number,lot_category,sequence_no,product_id,product_code,production_date,quantity,manufacturing_cost,status,remarks,metadata,bubble_id,created_at,updated_at,weighing_instruction_url,start_time,end_time,reporter
000c3bf4-f6ab-4cea-ac6a-33301d117195,B5275,B,5275,,BBTBC0060,2025-10-27,1000.00,2728630.77,completed,,{},,2025-12-31 09:46:34.524761+00,2026-01-27 04:55:59.255868+00,https://7f5b12b9cd29afb93611d0b4303bb017.cdn.bubble.io/f1761522014775x136284854441597320/B5275.pdf,,,
002d88c5-2d0e-4973-a67d-d7db81828678,B5053,B,5053,,BBTBO0010,2025-03-26,0.00,0.00,completed,,{},,2025-12-31 09:46:34.524761+00,2026-01-27 04:51:24.568555+00,,,,
00377da7-2971-49c7-935d-02a2dafa87e6,B3342,B,3342,,BBTBO0020,2023-11-28,150.00,445528.50,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
004f8f33-548c-43ec-970f-c9069058cc2c,B5241,B,5241,,BSBMPNN50,2025-09-25,1000.00,1276566.94,completed,,{},,2025-12-31 09:46:34.524761+00,2026-01-27 04:55:59.255868+00,,,,
0053a3da-4978-4967-93fa-64ab5350ec2a,B5084,B,5084,,BAJBC0020,2025-04-28,0.00,0.00,completed,,{},,2025-12-31 09:46:34.524761+00,2026-01-27 04:51:24.568555+00,,,,
00592cd3-ae9c-40d5-a8d4-6c76192d3639,B3216,B,3216,,BPDIR0040,2023-08-29,250.00,485712.50,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
0070a22a-1fcb-487e-9cb6-279a23feec2d,H4067,H,4067,,BVMSP0070,2024-06-20,750.00,1378102.50,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
007c5e0c-4d1b-4629-a2a1-ce914c204194,B4278,B,4278,,BNPBC0040,2024-10-30,1000.00,1182619.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
008b64e3-6e9e-416c-abfd-7e78098b9bb2,H3095,H,3095,,BAORS0000,2023-07-12,1000.00,989698.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
00a3623c-aa26-48ea-b575-b8c40de64807,B5152,B,5152,,BAOBC0000,2025-07-23,2000.00,2875190.00,completed,,{},,2025-12-31 09:46:34.524761+00,2026-01-27 04:55:59.255868+00,https://7f5b12b9cd29afb93611d0b4303bb017.cdn.bubble.io/f1753232207236x147753208488653920/B5152.pdf,,,
00c31ec5-d161-4410-8733-600f755c9e34,S3190,S,3190,,BRRBM0040,2023-08-22,470.00,1315741.50,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
00ca1146-cfaf-4d7c-9c8e-0a32e03aaaca,M4033,M,4033,,BRMBL0020,2024-03-20,1000.00,1576130.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
00d6c99c-c0db-472d-b80f-a6a907c256ae,B5101,B,5101,,BBTBC0090,2025-05-23,1000.00,2742722.00,completed,,{},,2025-12-31 09:46:34.524761+00,2026-01-27 04:55:59.255868+00,https://7f5b12b9cd29afb93611d0b4303bb017.cdn.bubble.io/f1747969784015x120112698491474880/B5101.pdf,,,
00ddb543-cfca-44f8-936e-a49ded1c7e9d,C5039,C,5039,,BFJFC0020,,800.00,3791648.00,completed,,{},,2025-12-31 09:12:24.770323+00,2026-01-27 04:55:59.255868+00,,,,
00f50646-ece0-41a8-9458-a85582a749c8,B6029,B,6029,,BNPBC0060,2026-02-13,1000.00,,created,,{},,2026-02-11 23:36:08.094682+00,2026-02-11 23:39:12.589436+00,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/documents/weighing-instructions/weighing_B6029.pdf,,,
00fd25fb-d483-47f3-9a8b-76b52880fc6b,B4233,B,4233,,BBTBC0060,2024-09-06,1000.00,2728630.77,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
01105ff6-991a-42c7-a12c-c2401f412c24,B3261,B,3261,,BMLBC0160,2023-09-26,1530.00,1802961.18,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
011a5591-c10f-49a2-b257-25927a0e2c83,S5149,S,5149,,BRRBM0040,2025-08-11,690.00,1931620.50,completed,,{},,2025-12-31 09:46:34.524761+00,2026-01-27 04:55:59.255868+00,https://7f5b12b9cd29afb93611d0b4303bb017.cdn.bubble.io/f1754868858170x716922176187084800/S5149.pdf,,,
011ae549-78ff-4ae8-8c56-6fc849da35d2,M5036,M,5036,,BAOBL0000,2025-02-20,1000.00,1192150.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
01317fe3-2888-49dc-a7fd-fb33e1555fb2,B3217,B,3217,,BAOBC0000,2023-08-30,2000.00,2875190.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
013769c2-7c57-45e5-9050-b898523d0e1d,S3111,S,3111,,BFJCO0010,2023-05-23,830.00,6203613.39,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
0139cb0f-8dc8-40af-82dd-96bfe33a1ee8,B5162,B,5162,,BFJCL0010,2025-08-07,520.00,832858.00,completed,,{},,2025-12-31 09:46:34.524761+00,2026-01-27 04:55:59.255868+00,https://7f5b12b9cd29afb93611d0b4303bb017.cdn.bubble.io/f1754523824631x143992495818197280/B5162.pdf,,,
013dc7a5-aa77-4dcb-a802-3128faff423a,S5093,S,5093,,BFJSL0010,2025-05-27,1000.00,1720800.00,completed,,{},,2025-12-31 09:46:34.524761+00,2026-01-27 04:55:59.255868+00,https://7f5b12b9cd29afb93611d0b4303bb017.cdn.bubble.io/f1748304675834x559086731455311900/S5093.pdf,,,
014507e3-3080-49f1-93b6-2fbfbff9c6e6,C3017,C,3017,,BFJEC0010,,152.00,1244074.40,completed,,{},,2025-12-31 09:12:24.770323+00,2026-01-27 04:55:59.255868+00,,,,
014d6b9e-e0e5-4667-933d-68a2de93a85d,C4128,C,4128,,BFJFC0020,,860.00,4076021.60,completed,,{},,2025-12-31 09:12:24.770323+00,2026-01-27 04:55:59.255868+00,,,,
014fcb0b-5fb9-4336-94f2-25e1271c1360,S4074,S,4074,,BFJSL0010,2024-04-04,1000.00,1720800.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
015e43fb-b211-4253-96be-a5b7e67d93c3,H3009,H,3009,,BVMSP0050,2023-01-12,1500.00,3505380.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
015f2660-4875-4dd9-b995-1a81f6a54ebd,C4238,C,4238,,BFJPG0020,,850.00,3384756.10,completed,,{},,2025-12-31 09:12:24.770323+00,2026-01-27 04:55:59.255868+00,,,,
0164b593-7ef5-4f87-9a01-914076a5b60a,S3163,S,3163,,BFJSL0010,2023-07-20,1000.00,1720800.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
0174d10e-8b72-4238-99a6-01a389480b5b,S3281,S,3281,,BMLDM0010,2023-12-18,500.00,466550.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
0189240b-201e-476f-ac59-bf7084e16716,S6002,S,6002,,BRRBM0110,2026-01-05,470.00,1315741.50,created,,{},,2026-01-01 23:37:00+00,2026-01-27 04:55:59.255868+00,,,,
0195c869-aa3b-47f5-9f88-b5a43cd4d400,B5047,B,5047,,BBTBC0070,2025-03-26,1000.00,2615685.00,completed,,{},,2025-12-31 09:46:34.524761+00,2026-01-27 04:55:59.255868+00,,,,
019bcee3-4c35-479f-bc46-1454dd8271ca,B3229,B,3229,,BFJPW0010,2023-09-06,240.00,4562814.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
019db3a5-6c7a-4fee-9849-b40bf2f4b232,C3140,C,3140,,BFJFC0050,,830.00,2136793.50,completed,,{},,2025-12-31 09:12:24.770323+00,2026-01-27 04:55:59.255868+00,,,,
01a5a7dc-5e56-45e3-b676-53aaf8238627,C5154,C,5154,,BKBCR0030,,420.00,1131753.00,completed,,{},,2025-12-31 09:12:24.770323+00,2026-01-27 04:55:59.255868+00,https://7f5b12b9cd29afb93611d0b4303bb017.cdn.bubble.io/f1751239533790x649284981607631600/C5154.pdf,,,
01c33a7a-470f-483c-9164-078eface4a09,M4152,M,4152,,BAOBL0000,2024-12-11,1000.00,1192150.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
01c68d65-0b8b-41c0-b738-75c46afc2508,B3227,B,3227,,BAOBC0000,2023-09-07,2000.00,2875190.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
01cec32f-71b5-4255-a8d7-b7f8a4f7b328,S5026,S,5026,,BRMSCN100,2025-02-05,290.00,839372.32,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
01d84ff7-7414-473a-a114-877ec5f58fff,S6021,S,6021,,BFJSL0020,2026-02-03,1000.00,,created,,{},,2026-01-30 00:02:21.882705+00,2026-02-02 00:11:27.57954+00,https://usvjbuudnofwhmclwhfl.supabase.co/storage/v1/object/public/documents/weighing-instructions/weighing_S6021.pdf,,,
020e31f9-3fe5-42eb-945d-af463fc9da62,H5028,H,5028,,BAJSP0020,2025-04-29,0.00,0.00,completed,,{},,2025-12-31 09:46:34.524761+00,2026-01-27 04:51:24.568555+00,https://7f5b12b9cd29afb93611d0b4303bb017.cdn.bubble.io/f1745885526978x917679371864343900/H5028.pdf,,,
0225930a-13c2-48a7-9e6d-5d6983c1a888,S3182,S,3182,,BFJSL0010,2023-08-16,1000.00,1720800.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
022c9add-78b3-4b22-a8cf-4ae43eab9d7e,H4126,H,4126,,BCCHP0010,2024-12-18,510.00,1217296.60,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
022d7ca0-e181-408f-a7bf-4d2bf2dc71d3,C4117,C,4117,,BFJCR0020,,830.00,2864205.50,completed,,{},,2025-12-31 09:12:24.770323+00,2026-01-27 04:55:59.255868+00,,,,
022fef4b-bcc0-403d-84a5-ed11cec35511,S4160,S,4160,,BFJSL0040,2024-08-12,1000.00,1692040.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
0233b52d-7631-40dc-b564-8e543e5a3f76,C3207,C,3207,,BFJPG0020,,1000.00,3982066.00,completed,,{},,2025-12-31 09:12:24.770323+00,2026-01-27 04:55:59.255868+00,,,,
0255772e-7e6c-40a1-8329-239921fd9546,B5076,B,5076,,BILWS0020,2025-04-22,0.00,0.00,completed,,{},,2025-12-31 09:46:34.524761+00,2026-01-27 04:51:24.568555+00,,,,
027e2319-2d2b-477e-a95f-ce5137899297,S4148,S,4148,,BRRBM0040,2024-07-18,700.00,1959615.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
029eadf5-0f8c-402d-91d6-c25919894eff,S6006,S,6006,,BMLDM0020,2026-01-08,500.00,566550.00,created,,{},,2026-01-07 00:13:00+00,2026-01-27 04:55:59.255868+00,,,,
02a1b469-c62c-4566-bb90-d58c4973a7fc,E3022,E,3022,,BFJEX0010,2023-08-10,125.00,1250000.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
02a2b7fc-192f-4e36-b5a7-9099687a6864,M3095,M,3095,,BADML0000,2023-07-24,1000.00,1069300.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
02b718f7-a545-4a7b-9575-bc939a0df4bb,M5003,M,5003,,BRMBL0140,2025-01-06,1000.00,1770950.00,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
02bbf0e5-f9f6-430c-a8af-ab394feaaa7e,B3140,B,3140,,BBTBC0050,2023-06-14,1000.00,2452024.46,completed,,{},,2025-12-31 09:46:33.360549+00,2026-01-27 04:55:59.255868+00,,,,
