product_id,name,spec,bal_qty,warehouse_code,barcode,box_qty
ADML000,"케어미 어르신 전용 고보습 바디로션","케어미 어르신 전용 고보습 바디로션 [1000ml]",5,W104,,1
AJBC002,"케어미 어르신 전용 데오 바디워시","케어미 어르신 전용 데오 바디워시 [1500ml]",3000,W104,,1
AJSP002,"케어미 어르신 전용 아르간 단백질 샴푸&린스","케어미 어르신 전용 아르간 단백질 샴푸&린스 [1500ml]",2000,W104,,1
AOBC000,"샤샤 아르간 오일 바디워시","샤샤 아르간 오일 바디워시 [1500ml]",3425,W104,,1
AOBC001,"샤샤 밀크앤허니 바디워시- 듀이 플로럴","샤샤 밀크앤허니 바디워시- 듀이 플로럴 [1500ml]",483,W104,,1
AOBC002,"샤샤 밀크앤허니 바디워시- 쥬이시 그레이프프룻","샤샤 밀크앤허니 바디워시- 쥬이시 그레이프프룻 [1500ml]",454,W104,,1
AOBC003,"샤샤 밀크앤허니 바디워시- 소프트 머스크","샤샤 밀크앤허니 바디워시- 소프트 머스크 [1500ml]",502,W104,,1
AOBC004,"샤샤 알로에베라 바디워시","샤샤 알로에베라 바디워시 [1500ml]",92,W104,,1
AOBC005,"샤샤 아르간 오일 진저 쿨링 케어 바디워시","샤샤 아르간 오일 진저 쿨링 케어 바디워시 [1000ml]",1801,W104,,1
AOBCM03,"샤샤 밀크앤허니 바디워시- 소프트 머스크","샤샤 밀크앤허니 바디워시- 소프트 머스크 [500ml]",1,W104,,1
AOBL000,"샤샤 아르간 오일 바디로션","샤샤 아르간 오일 바디로션 [1500ml]",2711,W104,,1
AOBL001,"샤샤 밀크앤허니 바디로션- 듀이 플로럴","샤샤 밀크앤허니 바디로션- 듀이 플로럴 [1500ml]",122,W104,,1
AOBL002,"샤샤 밀크앤허니 바디로션- 쥬이시 그레이프프룻","샤샤 밀크앤허니 바디로션- 쥬이시 그레이프프룻 [1500ml]",488,W104,,1
AOBL003,"샤샤 밀크앤허니 바디로션- 소프트 머스크","샤샤 밀크앤허니 바디로션- 소프트 머스크 [1500ml]",247,W104,,1
