code,name,brand,category,is_active
ADML000,"케어미 어르신 전용 고보습 바디로션",ODM,product,t
ADMLM00,"케어미 어르신 전용 고보습 바디로션",ODM,product,t
AJBC002,"케어미 어르신 전용 데오 바디워시",ODM,product,t
AJSP002,"케어미 어르신 전용 아르간 단백질 샴푸&린스",ODM,product,t
AOBC000,"샤샤 아르간 오일 바디워시",샤샤,product,t
AOBC001,"샤샤 밀크앤허니 바디워시- 듀이 플로럴",샤샤,product,t
AOBC002,"샤샤 밀크앤허니 바디워시- 쥬이시 그레이프프룻",샤샤,product,t
AOBC003,"샤샤 밀크앤허니 바디워시- 소프트 머스크",샤샤,product,t
AOBC004,"샤샤 알로에베라 바디워시",샤샤,product,t
AOBC005,"샤샤 아르간 오일 진저 쿨링 케어 바디워시",샤샤,product,t
AOBCM03,"샤샤 밀크앤허니 바디워시- 소프트 머스크",샤샤,product,t
AOBL000,"샤샤 아르간 오일 바디로션",샤샤,product,t
AOBL001,"샤샤 밀크앤허니 바디로션- 듀이 플로럴",샤샤,product,t
AOBL002,"샤샤 밀크앤허니 바디로션- 쥬이시 그레이프프룻",샤샤,product,t
AOBL003,"샤샤 밀크앤허니 바디로션- 소프트 머스크",샤샤,product,t
AOBL004,"샤샤 알로에베라 바디로션",샤샤,product,t
AOBL005,"샤샤 세라 데오 바디로션",샤샤,product,t
AOBLM03,"샤샤 밀크앤허니 바디로션- 소프트 머스크",샤샤,product,t
AOFC001,"샤샤 녹두 시카 클렌징 폼",샤샤,product,t
AOFC002,"샤샤 라이스 크림 클렌징 폼",샤샤,product,t
AOHA001,"샤샤 아르간오일 단백질 헤어 앰플",샤샤,product,t
AOHA5T1,"샤샤 아르간오일 단백질 헤어 앰플 (세트)",샤샤,product,t
AOHAM01,"샤샤 아르간오일 단백질 헤어 앰플",샤샤,product,t
AOHE001,"샤샤 아르간오일 웨이브 볼륨 에센스",샤샤,product,t
AOHSR00,"샤샤 아르간 오일 헤어 세럼",샤샤,product,t
AORS000,"샤샤 아르간 오일 컨디셔너",샤샤,product,t
AORS001,"샤샤 아르간오일 어성초 엘피피 프로테인 헤어팩",샤샤,product,t
AORS004,"샤샤 알로에베라 앤 프로폴리스 컨디셔너",샤샤,product,t
AORSM00,"샤샤 아르간 오일 컨디셔너",샤샤,product,t
AORST00,"샤샤 아르간 오일 컨디셔너",샤샤,product,t
AOSG000,"샤샤 알로에베라 수딩젤",샤샤,product,t
AOSP000,"샤샤 아르간 오일 샴푸",샤샤,product,t
AOSP001,"샤샤 아르간오일 어성초 안티헤어로스 샴푸",샤샤,product,t
AOSP002,"샤샤 아르간오일 진저 쿨링 케어 샴푸",샤샤,product,t
AOSP003,"샤샤 아르간 오일 어성초 캡슐 스크럽 샴푸",샤샤,product,t
AOSP004,"샤샤 알로에베라 앤 프로폴리스 샴푸",샤샤,product,t
AOSPM00,"샤샤 아르간 오일 샴푸",샤샤,product,t
AOSPN01,"샤샤 아르간오일 어성초 안티헤어로스 샴푸 뉴",샤샤,product,t
AOSPT00,"샤샤 아르간 오일 샴푸",샤샤,product,t
AOWS000,"샤샤 아르간오일 슈퍼하드 워터 스프레이",샤샤,product,t
BADML0000,"케어미 어르신 전용 고보습 바디로션",ODM,bulk,t
BAJBC0020,"케어미 어르신 전용 데오 바디워시",ODM,bulk,t
BAJSP0020,"케어미 어르신 전용 아르간 단백질 샴푸&린스",ODM,bulk,t
BAOBC0000,"샤샤 아르간 오일 바디워시",샤샤,bulk,t
BAOBC0010,"샤샤 밀크앤허니 바디워시- 듀이 플로럴",샤샤,bulk,t
BAOBC0020,"샤샤 밀크앤허니 바디워시- 쥬이시 그레이프프룻",샤샤,bulk,t
BAOBC0030,"샤샤 밀크앤허니 바디워시- 소프트 머스크",샤샤,product,t
BAOBC0040,"샤샤 알로에베라 바디워시",샤샤,product,t
BAOBC0050,"샤샤 아르간 오일 진저 쿨링 케어 바디워시",샤샤,bulk,t
BAOBL0000,"샤샤 아르간 오일 바디로션",샤샤,bulk,t
BAOBL0010,"샤샤 밀크앤허니 바디로션- 듀이 플로럴",샤샤,bulk,t
BAOBL0020,"샤샤 밀크앤허니 바디로션- 쥬이시 그레이프프룻",샤샤,bulk,t
BAOBL0030,"샤샤 밀크앤허니 바디로션- 소프트 머스크",샤샤,bulk,t
BAOBL0040,"샤샤 알로에베라 바디로션",샤샤,bulk,t
BAOBL0050,"샤샤 세라 데오 바디로션",샤샤,bulk,t
BAOFC0010,"샤샤 녹두 시카 클렌징 폼",샤샤,bulk,t
BAOFC0020,"샤샤 라이스 크림 클렌징 폼",샤샤,bulk,t
BAOHA0010,"샤샤 아르간오일 단백질 헤어 앰플",샤샤,bulk,t
BAOHE0010,"샤샤 아르간오일 웨이브 볼륨 에센스",샤샤,bulk,t
BAOHS0000,"샤샤 아르간 오일 헤어 세럼",샤샤,bulk,t
BAORS0000,"샤샤 아르간 오일 컨디셔너",샤샤,bulk,t
BAORS0010,"샤샤 아르간오일 어성초 엘피피 프로테인 헤어팩",샤샤,bulk,t
BAORS0040,"샤샤 알로에베라 앤 프로폴리스 컨디셔너",샤샤,bulk,t
BAOSP0000,"샤샤 아르간 오일 샴푸",샤샤,bulk,t
BAOSP0020,"샤샤 아르간오일 진저 쿨링 케어 샴푸",샤샤,bulk,t
BAOSP0030,"샤샤 아르간 오일 어성초 캡슐 스크럽 샴푸",샤샤,bulk,t
