product_code,name_ko,name_en,name_ru,barcode,brand,volume,pcs_per_carton,width_cm,height_cm,depth_cm,cbm,weight_kg,hscode,status
AOBC000,"샤샤 아르간 오일 바디워시 1500ml","CHAR CHAR Argan Oil Body Wash 1500ml","[Char Char] Гель для душа АРГАНОВОЕ МАСЛО Argan Oil Body Wash, 1500 мл",8802929999814,"CHAR CHAR",,12,12.00,19.00,20.00,0.038130,,3401.30-0000,active
AOBC004,"샤샤 알로에 베라 바디 워시 1500ml","Char Char Aloe vera Body Wash 1500ml","[Char Char] Универсальный гель с Алоэ вера для интенсивного восстановления кожи Aloe Vera Body Wash, 1500 мл",8802929008981,"CHAR CHAR",,12,12.00,19.00,20.00,0.038130,,3401.30-0000,active
AOBL000,"샤샤 아르간 오일 바디로션 1500ml","CHAR CAHR Argan Oil Body Lotion 1500ml","[Char Char] Лосьон для тела АРГАНОВОЕ МАСЛО Argan Oil Body Lotion, 1500 мл",8802929999821,"CHAR CHAR",,12,12.00,19.00,20.00,0.038130,,3304.99-1000,active
AOBL004,"샤샤 알로에 베라 바디 로션 1500ml","Char Char Aloe vera Body Lotion 1500ml","[Char Char] Увлажняющий лосьон для тела с алоэ вера Aloe Vera Body Lotion, 1500 мл",8802929008998,"CHAR CHAR",,12,12.00,19.00,20.00,0.038130,,3304.99-1000,active
AOFC001,"샤샤 녹두 시카 클렌징 폼 220ml","CHAR CHAR Mung Bean Cica Cleansing Foam 220ml","[Char Char] Успокаивающая пенка для умывания с мунг бобами и центеллой азиатской Mung Bean Cica Cleansing Foam, 220 мл",8802929010397,"CHAR CHAR",,60,60.00,14.80,15.80,0.045330,,3401.30-0000,active
AOFC002,"샤샤 라이스 크림 클렌징 폼 220ml","CHARCHAR Rice Cream Cleansing Foam 220ml","[Char Char] Кремовая пенка для питания кожи Rice Cream Cleansing Foam , 220 мл",8802929010755,"CHAR CHAR",,60,60.00,14.80,15.80,0.045330,,3401.30-0000,active
AOHA001,"샤샤 아르간 오일 프로테인 헤어 앰플 150g","CHAR CHAR Argan Oil Protein Hair Ampoule 150g","[Char Char] Сыворотка для волос ВОССТАНОВЛЕНИЕ/АРГАНОВОЕ МАСЛО Argan Oil Protein Hair Ampoule, 150 мл",8802929005294,"CHAR CHAR",,40,,,,,,,active
AOHA5T1,"샤샤 아르간 오일 프로테인 헤어 앰플 15g * 5ea","CHAR CHAR Argan Oil Protein Hair Ampoule 15g * 5ea","[Char Char] НАБОР Сыворотка для волос ВОССТАНОВЛЕНИЕ/АРГАНОВОЕ МАСЛО Argan Oil Protein Hair Ampoule, 5 шт * 15 мл",8802929006475,"CHAR CHAR",,40,,,,,,,active
AOHAM01,"샤샤 아르간 오일 프로테인 헤어 앰플 15g","CHAR CHAR Argan Oil Protein Hair Ampoule 15g","[Char Char] Сыворотка для волос ВОССТАНОВЛЕНИЕ/АРГАНОВОЕ МАСЛО Argan Oil Protein Hair Ampoule, 15 мл",8802929005300,"CHAR CHAR",,480,,,,,,,active
AOHE001,"샤샤 아르간 오일 웨이브 볼륨 에센스 250ml","CHAR CAHR Argan Oil Wave Volume Essence 250ml","[Char Char] Эссенция для волос АРГАНОВОЕ МАСЛО Argan Oil Wave Volume Essense, 250 мл",8802929002781,"CHAR CHAR",,60,60.00,17.76,18.76,0.037300,,3305.90-9000,active
AOHSR00,"샤샤 아르간 오일 헤어세럼 200ml","char char argan oil hair serum 200ml","[Char Char] Сыворотка для волос АРГАНОВОЕ МАСЛО Argan Oil Hair Serum, 200 мл",8802929996905,"CHAR CHAR",,72,72.00,15.60,16.60,0.033660,,3305.90-9000,active
AORS000,"샤샤 아르간 헤어 컨디셔너 1500ml","char char hair conditioner","[Char Char] Кондиционер для волос АРГАНОВОЕ МАСЛО Argan Oil Conditioner, 1500 мл",8802929996813,"CHAR CHAR",,12,12.00,19.00,20.00,0.038130,,3305.90-1000,active
